               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,             0.05196,            0.047287,            0.020372,             0.62095,             0.54897,             0.59586,             0.28955,            0.045925,            0.038657,            0.021278,            0.007888,            0.007888,            0.007888
                  66,            0.050871,            0.057714,            0.020959,              0.6866,             0.53919,             0.61022,             0.29214,            0.050618,            0.038974,            0.021564,            0.007855,            0.007855,            0.007855
                  67,            0.052079,                0.04,             0.02235,             0.69136,             0.59004,             0.65989,             0.37135,            0.038732,            0.037036,            0.021063,            0.007822,            0.007822,            0.007822
                  68,            0.045113,            0.051069,            0.022831,             0.67373,             0.58371,             0.62645,               0.268,            0.048131,            0.038774,            0.021513,            0.007789,            0.007789,            0.007789
                  69,            0.048023,            0.045458,            0.021893,             0.62127,             0.56594,             0.54233,              0.2436,            0.049245,            0.037879,            0.020645,            0.007756,            0.007756,            0.007756
                  70,            0.054729,            0.039516,            0.022164,             0.70816,             0.52634,             0.56464,             0.22939,            0.052094,            0.038374,            0.021504,            0.007723,            0.007723,            0.007723
                  71,            0.055868,            0.052302,            0.020063,             0.67878,             0.58823,             0.66145,             0.32914,            0.040438,            0.037294,            0.020586,             0.00769,             0.00769,             0.00769
                  72,            0.046483,            0.045097,            0.021271,             0.72489,             0.58823,             0.71442,             0.39339,            0.040838,            0.037102,            0.020478,            0.007657,            0.007657,            0.007657
                  73,            0.045864,            0.048874,            0.018468,             0.78714,             0.58901,             0.69489,             0.35377,            0.039697,            0.037021,            0.020324,            0.007624,            0.007624,            0.007624
                  74,            0.044838,            0.051231,            0.020482,             0.68498,             0.61328,             0.69401,             0.35826,            0.042496,            0.037048,            0.020438,            0.007591,            0.007591,            0.007591
                  75,            0.046511,            0.043891,            0.020846,             0.81325,             0.57418,             0.69876,             0.40131,            0.040988,            0.036237,            0.020069,            0.007558,            0.007558,            0.007558
                  76,            0.043147,            0.038009,            0.023517,             0.75223,             0.58501,              0.7143,              0.3516,            0.042851,            0.037018,            0.019962,            0.007525,            0.007525,            0.007525
                  77,             0.04684,            0.049945,            0.022352,             0.70575,             0.60025,              0.7027,             0.37926,            0.040636,            0.036453,            0.019334,            0.007492,            0.007492,            0.007492
                  78,            0.048872,            0.037944,            0.017759,             0.89222,             0.57188,             0.68629,             0.33751,            0.049047,            0.037511,            0.019499,            0.007459,            0.007459,            0.007459
                  79,            0.050453,            0.047546,            0.020738,             0.88291,             0.60162,             0.72834,             0.39476,            0.041129,            0.036834,            0.018966,            0.007426,            0.007426,            0.007426
                  80,            0.048406,            0.037055,            0.024133,             0.90549,             0.56336,             0.69171,              0.2835,             0.04918,             0.03639,            0.019278,            0.007393,            0.007393,            0.007393
                  81,            0.051729,            0.053016,            0.020773,             0.88781,             0.60352,             0.76732,             0.41198,            0.041555,            0.037365,            0.018799,             0.00736,             0.00736,             0.00736
                  82,            0.046308,            0.039073,            0.018202,             0.94226,             0.60274,               0.788,             0.43331,            0.038435,            0.036204,            0.018787,            0.007327,            0.007327,            0.007327
                  83,            0.046465,            0.046805,            0.019059,             0.81085,             0.60612,             0.72324,             0.39464,            0.040405,             0.03592,            0.018578,            0.007294,            0.007294,            0.007294
                  84,            0.045625,            0.042903,            0.018474,             0.91895,              0.5901,             0.75235,             0.36839,            0.044479,            0.035238,            0.018669,            0.007261,            0.007261,            0.007261
                  85,            0.047634,            0.052758,            0.021072,             0.86999,             0.59864,               0.741,              0.3799,            0.041553,            0.035733,            0.018174,            0.007228,            0.007228,            0.007228
                  86,            0.045496,             0.04436,            0.020106,             0.96773,             0.61158,             0.80905,               0.427,            0.037405,            0.034809,            0.018143,            0.007195,            0.007195,            0.007195
                  87,            0.041146,            0.041395,            0.020329,              0.4605,             0.84383,             0.78165,             0.41962,             0.03858,            0.034438,            0.017844,            0.007162,            0.007162,            0.007162
                  88,            0.044368,            0.040269,            0.020496,             0.45443,             0.88594,             0.77599,             0.37555,            0.041102,            0.034093,            0.017773,            0.007129,            0.007129,            0.007129
                  89,            0.047353,            0.043657,            0.020524,             0.50221,             0.87535,             0.77844,               0.418,            0.040022,             0.03467,             0.01744,            0.007096,            0.007096,            0.007096
                  90,            0.042431,            0.041855,            0.018803,             0.96385,              0.5998,             0.80264,             0.46659,            0.039855,            0.034079,            0.017627,            0.007063,            0.007063,            0.007063
                  91,            0.044079,            0.045957,            0.019778,             0.93889,               0.605,             0.76427,             0.38086,            0.038525,            0.034398,            0.017432,             0.00703,             0.00703,             0.00703
                  92,            0.043187,            0.043028,            0.018023,             0.95765,             0.59431,             0.79945,             0.37641,            0.041689,            0.034063,            0.017296,            0.006997,            0.006997,            0.006997
                  93,            0.050133,            0.039531,            0.018368,             0.96292,             0.59235,             0.80277,             0.45484,            0.038443,             0.03472,            0.016922,            0.006964,            0.006964,            0.006964
                  94,            0.043405,            0.048192,            0.019495,             0.51268,             0.88845,             0.82623,             0.50002,            0.033948,            0.033154,            0.016829,            0.006931,            0.006931,            0.006931
                  95,            0.040178,            0.037856,            0.017597,             0.54973,             0.80854,             0.81792,             0.47476,            0.036693,            0.033646,            0.016684,            0.006898,            0.006898,            0.006898
                  96,            0.042121,            0.050166,            0.020572,             0.44114,             0.88494,             0.72525,              0.3596,            0.042945,            0.033707,            0.016826,            0.006865,            0.006865,            0.006865
                  97,            0.048363,            0.045576,            0.020516,             0.47589,             0.89822,              0.8004,             0.42546,            0.035948,            0.033785,            0.016541,            0.006832,            0.006832,            0.006832
                  98,            0.041996,            0.041894,            0.019274,             0.57004,             0.78288,             0.82298,             0.50062,            0.035116,            0.033193,            0.016703,            0.006799,            0.006799,            0.006799
                  99,            0.044345,            0.041765,            0.015115,              0.5169,              0.8139,             0.79131,              0.3997,            0.041137,            0.034782,            0.016506,            0.006766,            0.006766,            0.006766
                 100,             0.04561,            0.053202,             0.01807,             0.61889,             0.74461,             0.82126,             0.40044,            0.037687,            0.033181,            0.016574,            0.006733,            0.006733,            0.006733
                 101,            0.043925,            0.043316,            0.019981,             0.59914,              0.7931,             0.83885,             0.48825,            0.035688,            0.033608,            0.016343,              0.0067,              0.0067,              0.0067
                 102,            0.039153,            0.048841,            0.019184,             0.55826,             0.83306,             0.83327,             0.50008,            0.034344,              0.0333,            0.016301,            0.006667,            0.006667,            0.006667
                 103,            0.038399,            0.036303,            0.015173,             0.60632,             0.81378,             0.83608,             0.50207,            0.035002,            0.033242,            0.015994,            0.006634,            0.006634,            0.006634
                 104,            0.038354,            0.039761,            0.017335,             0.53965,             0.83588,             0.83017,             0.37623,            0.040821,             0.03358,            0.016034,            0.006601,            0.006601,            0.006601
                 105,            0.046337,            0.038015,            0.015315,             0.55586,             0.89627,             0.84771,             0.52061,            0.034082,            0.033804,            0.015634,            0.006568,            0.006568,            0.006568
                 106,            0.038649,            0.047023,             0.01666,             0.65491,             0.80167,             0.85719,             0.52849,            0.031085,            0.032303,            0.015667,            0.006535,            0.006535,            0.006535
                 107,            0.037912,            0.040239,            0.016233,             0.72927,               0.787,              0.8596,             0.55952,            0.032572,            0.032756,            0.015442,            0.006502,            0.006502,            0.006502
                 108,            0.037592,            0.036046,            0.017108,              0.7103,             0.77284,             0.85193,             0.50417,            0.031229,            0.031859,            0.015374,            0.006469,            0.006469,            0.006469
